name,lat,lng
"LV/Riga",56.9489,24.1064
"NL/The Hague",52.08,4.31
"AT/Vienna",48.2083,16.3725
"BE/Brussels",50.8467,4.3525
"DE/Berlin",52.52,13.405
"FR/Paris",48.8567,2.3522
"IE/Dublin",53.35,-6.2603
"LT/Vilnius",54.6872,25.28
"UK/London",51.5072,-0.1275
"US/Anchorage",61.218056,-149.900284
"US/Chicago",41.8781136,-87.6297982
"US/Huntsville",34.7303688,-86.5861037
"US/New York",40.712776,-74.005974
"US/Washington",38.9047,-77.0163
"US/Denver",39.739235,-104.99025
"US/Los Angeles",34.052235,-118.243683
